Timestamp,Faculty or Major :,What print resolution do you want?,Type of Material?,What kind of strength / fill density do you need? Note that higher density means more material and higher Cost.,Color of the Print? (PLA or ABS),"Upload your .STL file(s). Dimensions should be in mm. Format must be ""YOURNAME_NUMBER OF COPIES TO PRINT_FILENAME"" (e.g. ""JOHNDOE_2_Turtle.stl""). Only send in .STL files.","Rush order? (2-3 days instead of 5-7 days, 10%+$5 fee)"
03/10/2017 20:21:55,High School Student,Fine - 100 Microns (Extra $2 fee added to the Setup Costs),"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",20% (Standard and excellent strength for majority of usages),Gold (Extra $1) (PLA Only),https://drive.google.com/open?id=0B0-j9Z3ccfgwRDZGb2VBUndGaUE,
04/10/2017 19:48:11,Arts,Standard - 200 Microns,"ABS ($0.15/gram, Slightly Stronger and more heat resistant than PLA, Oil Based - Only in Black and White)",20% (Standard and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=0B0QCxCjzbU-zWWt4ZUVlUVIyaVE, https://drive.google.com/open?id=0B0QCxCjzbU-zUzQ0aTZCX2Y3LW8",
05/10/2017 18:06:18,Engineering,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",20% (Standard and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=0B3lXMigczBfuSUhvclA2Uk1uOXc,
12/10/2017 19:12:06,Engineering,Coarse - 300 Microns (Image is 250 micron but imagine it slightly more coarse) (Fastest Print time),"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",20% (Standard and excellent strength for majority of usages),Red (PLA Only),https://drive.google.com/open?id=0Bx8JPpx8ERaXZHJqQUY5cFlncms,
12/10/2017 19:19:19,Medicine,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",19.5,Dark Blue (PLA Only),https://drive.google.com/open?id=0Bx8JPpx8ERaXLWdrQjFHRzlieHM,
12/10/2017 19:23:54,Adult Industry,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",20% (Standard and excellent strength for majority of usages),Light Green (PLA Only),https://drive.google.com/open?id=0Bx8JPpx8ERaXb0wyRlRlTmFHSWc,
22/10/2017 02:01:09,Engineering,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",20% (Standard and excellent strength for majority of usages),Dark Blue (PLA Only),https://drive.google.com/open?id=0B1sGPvLML1RMZUhkMWUwM0t4TWc,
23/10/2017 21:03:29,Engineering,Fine - 100 Microns (Extra $2 fee added to the Setup Costs),"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",50% (High Density and Strongest),Black (ABS + PLA),"https://drive.google.com/open?id=0B6DKoQFoFJZmMFdFQ1RiN0w5OUU, https://drive.google.com/open?id=0B6DKoQFoFJZmaUdpcmlrSTFsU1E, https://drive.google.com/open?id=0B6DKoQFoFJZmN1ZvQXEyTDcxOXM, https://drive.google.com/open?id=0B6DKoQFoFJZmTzdyTDRfQVpFTzA",
24/10/2017 08:20:25,Sciences in Forestry,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",20% (Standard and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=0B0oo631Y8w-bNGtNaDI4Q1JjSlU,
24/10/2017 08:22:39,Sciences in Forestry,Standard - 200 Microns,"Tranparent PolyCarbonate ($0.50, Stronger Impact strength than ABS but difficult to Print) (Turns white-ish)",20% (Standard and excellent strength for majority of usages),I picked a special filament that has one color,https://drive.google.com/open?id=0B0oo631Y8w-bcGp3U2RwUWxubDQ,
27/10/2017 00:41:52,Engineering,Fine - 100 Microns (Extra $2 fee added to the Setup Costs),"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",28% (High Density and Strongest),Black (ABS + PLA),https://drive.google.com/open?id=0B6DKoQFoFJZmQ1VVQ2FQb2M4M0E,
27/10/2017 01:44:47,Engineering,Fine - 100 Microns (Extra $2 fee added to the Setup Costs),"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",28% (High Density and Strongest),Black (ABS + PLA),"https://drive.google.com/open?id=0B6DKoQFoFJZmUDJyczF2SmNxc00, https://drive.google.com/open?id=0B6DKoQFoFJZmRWR2T2JfWFVxd2M",
06/11/2017 18:06:20,Engineering,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",20% (Standard and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1bSZOLTLAnKrUpGYnFnJRsQz-ZsNmIID3, https://drive.google.com/open?id=16LABZLZnBpeZhT2P_yTuClKLkS-acDd1",
08/11/2017 10:39:45,Engineering,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",20% (Standard and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=12Th4GOy4Ysr5SXZU83co20irr7Z29KA6, https://drive.google.com/open?id=1PF_QUFlrPhgzTa94AkRokimVVe-Ft617, https://drive.google.com/open?id=1b8W50NHWit4ydZjxMAMZfek72c4MPLED",
09/11/2017 00:03:22,Engineering,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",20% (Standard and excellent strength for majority of usages),Red (PLA Only),https://drive.google.com/open?id=1hmtn-VkU2lxEWhMv8ttoh1BUXZaG2XmX,
11/11/2017 18:09:03,Arts,Fine - 100 Microns (Extra $2 fee added to the Setup Costs),"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)","10% (Low Infill and decent strength, suggested for Art / Sculptures or certain Toys / Figurines)",White (ABS + PLA),https://drive.google.com/open?id=1m9Hql0TnAMFSefDhazFjtxoRQvof9WMH,
12/11/2017 11:25:12,Arts,Fine - 100 Microns (Extra $2 fee added to the Setup Costs),"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)","10% (Low Infill and decent strength, suggested for Art / Sculptures or certain Toys / Figurines)",White (ABS + PLA),https://drive.google.com/open?id=1Oa5-eEkQuvX2lpgsAUjZyEU0qEFB1Chl,
13/11/2017 22:30:21,Engineering,Standard - 200 Microns,"Nylon ($0.50, Tough and Durable - Strongest and most difficult to Print)",20% (Standard and excellent strength for majority of usages),I picked a special filament that has one color,"https://drive.google.com/open?id=1oM8a8hLnDJ_l25VWfMQlQlXinEAby-zH, https://drive.google.com/open?id=1OTWZvqS2OLPybCHZXNPnZwBRcJg8pVVm, https://drive.google.com/open?id=1KbNjdlgtVV6mYMi_v39RJ6fvZ8r5vpn3, https://drive.google.com/open?id=1WvcKvhG7jBZT3pUM6LOxv7f1Iq3slwxn, https://drive.google.com/open?id=1b8SD4R-uLtBUP3RS4GZ4ypONHwM-PcvJ",
14/11/2017 16:11:09,Engineering,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",20% (Standard and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1mOaW53o7JivKGxluMYkIyNs2mOXH_xFw, https://drive.google.com/open?id=1PEdUnikU2d83wxo76RDpSPb4HmxrYaLB, https://drive.google.com/open?id=1hNBFXJ-B9oh-bcOqgGzB3SBKrtaYTnhL, https://drive.google.com/open?id=13N9ECvjtZ-h0SyYbdvHepwb7VD1r-hJI",
14/11/2017 20:59:53,Engineering,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",5%?,White (ABS + PLA),"https://drive.google.com/open?id=1BYsPm1Cauzwi6ubRv_vtHoguFEtm0ydS, https://drive.google.com/open?id=1VqC0HOL0QImPLD6J2gP-pwbIeSFZoCAi, https://drive.google.com/open?id=1tC5gAr2m3l2VzXKMcjMenk3DEX2HPC0F, https://drive.google.com/open?id=18WtrzdjmcxQqEKRzdZYm7GrBCXCxU4YU",
19/11/2017 16:43:18,Engineering,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",20% (Standard and excellent strength for majority of usages),Red (PLA Only),https://drive.google.com/open?id=11VsOvCtbwrGLnZu7CoYhiy8R3_hZM65W,
19/11/2017 17:28:05,Engineering,Coarse - 300 Microns (Image is 250 micron but imagine it slightly more coarse) (Fastest Print time),"ABS ($0.15/gram, Slightly Stronger and more heat resistant than PLA, Oil Based - Only in Black and White)",20% (Standard and excellent strength for majority of usages),White (ABS + PLA),https://drive.google.com/open?id=1OlvbzHI5wnlGuXIFjC2hN0MsEX_4Y8jy,
27/11/2017 19:35:04,Engineering,Coarse - 300 Microns (Image is 250 micron but imagine it slightly more coarse) (Fastest Print time),"Nylon ($0.50, Tough and Durable - Strongest and most difficult to Print)",20% (Standard and excellent strength for majority of usages),Red (PLA Only),https://drive.google.com/open?id=1VVA7r46CupovF-0z3MTRAXxXjdla7npC,
07/12/2017 13:56:15,Engineering,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",20% (Standard and excellent strength for majority of usages),White (ABS + PLA),https://drive.google.com/open?id=1_W6aaq2cEs-UmxNefSxyv_ENbLpXgcMo,
14/12/2017 19:24:40,Engineering,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)","10% (Low Infill and decent strength, suggested for Art / Sculptures or certain Toys / Figurines)",Dark Blue (PLA Only),https://drive.google.com/open?id=1sIQlGThWsJNGchTYfrL9J8kXGsxLECXA,
14/12/2017 20:52:38,Engineering,Fine - 100 Microns (Extra $2 fee added to the Setup Costs),"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",20% (Standard and excellent strength for majority of usages),Dark Blue (PLA Only),"https://drive.google.com/open?id=1bUNkmtNf67LxtI3c61TzyC2aUS0AzbW-, https://drive.google.com/open?id=1hWlaFp5WoA8BfvDU9rD9lMcgfmCq5WRB",
16/12/2017 11:42:27,Engineering,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",20% (Standard and excellent strength for majority of usages),White (ABS + PLA),https://drive.google.com/open?id=1Cav8y6ARbRHBmmrJ5f7LTZ0NpaDVG84c,
06/01/2018 16:11:49,Arts,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",28% (High Density and Strongest),Dark Blue (PLA Only),https://drive.google.com/open?id=1APZe_fHQvzln1sEuRu8cUi6_HdORUAbR,
09/01/2018 22:20:19,Engineering,Standard - 200 Microns,"ABS ($0.15/gram, Slightly Stronger and more heat resistant than PLA, Oil Based - Only in Black and White)",20% (Standard and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1Z1iAxCi4MMLkTa40j2Bscbzq0ckb58pI, https://drive.google.com/open?id=1EbCkgkE24E3O_SiRCZSg1oK53DNRuAvh",
10/01/2018 15:27:32,Engineering,Standard - 200 Microns,"ABS ($0.15/gram, Slightly Stronger and more heat resistant than PLA, Oil Based - Only in Black and White)",(High Density and Strongest),Black (ABS + PLA),https://drive.google.com/open?id=1xvHevv0j50lbx8gDMVncpyI4ArlN-Yca,
11/01/2018 16:05:50,Engineering,Fine - 100 Microns (Extra $2 fee added to the Setup Costs),"ABS ($0.15/gram, Slightly Stronger and more heat resistant than PLA, Oil Based - Only in Black and White)",(High Density and Strongest),Black (ABS + PLA),https://drive.google.com/open?id=1uLy0Y9WfXLdbWxvkeJwaJ7OKXqP8Z1sU,
11/01/2018 19:58:39,Science,Fine - 100 Microns (Extra $2 fee added to the Setup Costs),"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1x9-cSaw3mA4SZiS8Vqtrn0J0b_eJBiY5,
15/01/2018 10:36:26,Engineering,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)","(Low Density and decent strength, suggested for Art / Sculptures or certain Toys / Figurines)",Red (PLA Only),https://drive.google.com/open?id=10l1RIoz0JdH8c-qPGjtYneh6Fqxkofbr,
17/01/2018 00:15:20,Engineering,Standard - 200 Microns,PLA or ABS depending on what you think should be used to print the difficult shape.,(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=1_imCCXmR0frRbtPZ6FbomvvVK9gl6CI6, https://drive.google.com/open?id=16oYMZq47IlOigqiXo1kiedyfrJ0tbidS, https://drive.google.com/open?id=1r3chQxqHEAY7SJXWbdrPxg6LYL6Eqlyh",
17/01/2018 11:19:30,Science,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",(High Density and Strongest),Black (ABS + PLA),https://drive.google.com/open?id=1l1FsHaZkQmKdYbI6Kf0Vw5kEEpjonsMv,
17/01/2018 23:27:28,Engineering,Standard - 200 Microns,ABS or PLA depending on your recommendation.,(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1hbuW7eXN1wWJRmMUIxSlwokAl1QPrjIL,
19/01/2018 00:13:26,Engineering,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",(Standard Density and excellent strength for majority of usages),Dark Blue (PLA Only),https://drive.google.com/open?id=1znCWoSDv2BrYL2Uo-9YD8qu3o1TAHnEy,
20/01/2018 14:08:35,Engineering,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1_yUNnUW_apT0lmvj2gZjcf61PrI4g23x,
23/01/2018 20:51:13,Engineering,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",(Standard Density and excellent strength for majority of usages),Red (PLA Only),"https://drive.google.com/open?id=1Z-c051W4MsqD67oVVwAenbmzvyA-DriO, https://drive.google.com/open?id=17rst97aBg7f7YXcv1pDf7LtA2vX_fTFz",
26/01/2018 09:40:51,Engineering,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),https://drive.google.com/open?id=1nDBw5dvNXpbmEOvJRY1wTbTn98hBwkHV,
26/01/2018 16:50:18,Arts,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)","(Low Density and decent strength, suggested for Art / Sculptures or certain Toys / Figurines)",White (ABS + PLA),https://drive.google.com/open?id=1akoukZjt6hAhCUCQZr56Ip7tojPI8rOD,
29/01/2018 23:19:16,Science,Fine - 100 Microns (Extra $2 fee added to the Setup Costs),"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",(Standard Density and excellent strength for majority of usages),Silver (Extra $1) (PLA Only),"https://drive.google.com/open?id=1W1gGUKtj1LlhYdiNFBZ4Bz00pblh23v1, https://drive.google.com/open?id=1IKwFFKOrZIMbY0DB78AVanGoRy4G_Dqk, https://drive.google.com/open?id=1jZ-G3r23-RiOXNt8dwr7Rl-jR_SojGH3, https://drive.google.com/open?id=11BnOy_9BCQzrjVRofSAyPxsK9S7Mkeqm, https://drive.google.com/open?id=1ZmeYW7OdiOILiVua9fI9E7bIqMwtRPFd",
29/01/2018 23:21:48,Science,Fine - 100 Microns (Extra $2 fee added to the Setup Costs),"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",(Standard Density and excellent strength for majority of usages),Silver (Extra $1) (PLA Only),"https://drive.google.com/open?id=1ZdR32rOa9JCOco7WViMD2H8yI62L-FKl, https://drive.google.com/open?id=1VqKf9LFtgmfX_6dM3Nvq4MbKv8qbsknq, https://drive.google.com/open?id=13YdqcN3HwgIfihqz51M8KsRPYyPW0D6w, https://drive.google.com/open?id=1sGJv2KfhCGYbjJ9TUNeZqGlWNSCrAFcE, https://drive.google.com/open?id=1-3HB49QBq9gfRxwk0ZwS2_d-3jmjj4uL",
30/01/2018 17:12:46,High School,50 microns,"ABS ($0.15/gram, Slightly Stronger and more heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1f1ousqrophmqSJ6TamqXYOqZQ2dIC3_Y, https://drive.google.com/open?id=13biZEQODndZNN_dC10COwSv2CtXBV7qC, https://drive.google.com/open?id=16hYYuZwSsDqUgExdpdmcXFw3FFdU-0v7",
31/01/2018 00:25:15,High School,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1apXZjsvpFwoZUhhuIIr4DbThS94DGOe8, https://drive.google.com/open?id=1NQXcQNkBo1b1EJJ4yC-1VMOvMctV4H8x, https://drive.google.com/open?id=1UZaBSiu8lpTcH4jPoTYaSTowRnhbxsd4, https://drive.google.com/open?id=1wVnW1Fx9uVZ-jrWWhA8kOmyXEWaTi2TM, https://drive.google.com/open?id=1oXPgOvbgca4g_fTd6rRMWVPuo7R6wfqa",
31/01/2018 00:26:07,High School,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),https://drive.google.com/open?id=1LyWibUVzUdsFD8A5Y1Rn1zzQYJKN1HHJ,
01/02/2018 10:39:56,Science,Coarse - 300 Microns (Fastest Print time),"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1uNZeqq1ZNgYCivVrLU6J9MyWhuIRH6b5, https://drive.google.com/open?id=1klqbGqKkh6yGMLn_EjhkmNJqXHCFyBXu",
06/02/2018 11:24:57,Business,Standard - 200 Microns,"ABS ($0.15/gram, Slightly Stronger and more heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=1CUhezzMK9AWQ5xiVf39SOIZFNXx-Jxer, https://drive.google.com/open?id=1SZT-nFX4cEfI5lJOHSc2HJCIuuR7Kzgc",
10/02/2018 19:35:48,my girlfriend is a sociology major,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)","(Low Density and decent strength, suggested for Art / Sculptures or certain Toys / Figurines)",White (ABS + PLA),"https://drive.google.com/open?id=1kXKI44Zuw3Y54nV_QL2e5smc7ixcR9rX, https://drive.google.com/open?id=1zIzM6pK_BmSv92S-QsqDQxA55yUrWvp3, https://drive.google.com/open?id=1VB68fb-TzqTbyLJrdLJU50DRvI5Rtrpf, https://drive.google.com/open?id=1UxOXoMuRUUziskI7ip1-Rzv-iSxbZFs4, https://drive.google.com/open?id=1Huemw9IfG8KzqQwfECRGnlYcQplhyLEf",
10/02/2018 19:37:14,"my girlfriend is a sociology major, but I don't go to UBC",Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)","(Low Density and decent strength, suggested for Art / Sculptures or certain Toys / Figurines)",White (ABS + PLA),"https://drive.google.com/open?id=1VoTzOE5Y1tn__KF5gySPZpEwLRVqw_6I, https://drive.google.com/open?id=1YQm9PqEWYzoIP5ImkiWHbs7dd1BGVdyF, https://drive.google.com/open?id=1p1o9J6-_DEFrpK1tBgAPmmkA10Kf_55I, https://drive.google.com/open?id=13FInbswXct9OGL-QtvtZgGeuydmnNwCo, https://drive.google.com/open?id=1IeUjgkc-dMNhOJbycEBtdVrZ4u90UMS9",
10/02/2018 19:38:28,"I don't go to UBC, but my girlfriend is an Arts major",Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)","(Low Density and decent strength, suggested for Art / Sculptures or certain Toys / Figurines)",White (ABS + PLA),"https://drive.google.com/open?id=1wWFwDhpKsAjyfPZbAP6-i0s-0OnpzrYL, https://drive.google.com/open?id=1Vjn1WL3zBjo_FcY5zNqgaZ_JRKGBUUGq, https://drive.google.com/open?id=1JgIu2aAMJGe2RQRGP2HARIViW8M2HG23, https://drive.google.com/open?id=1GM7hzyQcc7ribW781QXV_TGbePy_rvS4, https://drive.google.com/open?id=1Ytkb24Vs7NroP78GYOEKcGyAD6Nlez9O",
10/02/2018 19:39:47,"I'm not a UBC student, but my girlfriend is majoring in Sociology",Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)","(Low Density and decent strength, suggested for Art / Sculptures or certain Toys / Figurines)",White (ABS + PLA),"https://drive.google.com/open?id=1bFBXqI-qD8J84CaBg09_c6mTIPpbkqms, https://drive.google.com/open?id=1oJKir-_jBRDUeyO0Em_BDe_O_-qlP-34, https://drive.google.com/open?id=1ETjJhr2uFM_SaD6uZU0pJScxx8jwbG9x, https://drive.google.com/open?id=1sZ2PDWbBXmCCC412Dt622VkLql1DpgFH, https://drive.google.com/open?id=1ADk7O124UsLxPthoGVEMLrvtH84lNRQe",
14/02/2018 14:15:51,High School ,Standard - 200 Microns,"ABS ($0.15/gram, Slightly Stronger and more heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1xThp_SVo1f0FrqtCziOGMrbt0YJLOCxY, https://drive.google.com/open?id=1WVZVCNhUZqAEmiO87b1s7FMdh_Z1NV_E, https://drive.google.com/open?id=1uLyxILK0sf4CY8vPq8jRBPjLSVtkZmRL, https://drive.google.com/open?id=1x6vuhTBy8Z4Jh4rODbRdLcFAe2sTlYrh, https://drive.google.com/open?id=1N6jH_qlKGZAPDRUibsUTMGldHG5v9VmQ",
14/02/2018 14:31:15,High School,Standard - 200 Microns,"ABS ($0.15/gram, Slightly Stronger and more heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1pdGiE1Q0cJBgx5tGUN_VnLoVXzSiOcgB, https://drive.google.com/open?id=1A-z9oDm86mc0voniiP7DayvnNVibnmrD",
